FIPS Code,Geography,Year,Program Type,Population
36111,Ulster County,2018,Postcensal Population Estimate,178418
36113,Warren County,2018,Postcensal Population Estimate,64215
36115,Washington County,2018,Postcensal Population Estimate,61274
36117,Wayne County,2018,Postcensal Population Estimate,90200
36119,Westchester County,2018,Postcensal Population Estimate,968213
36121,Wyoming County,2018,Postcensal Population Estimate,40023
36123,Yates County,2018,Postcensal Population Estimate,24951
36000,New York State,2017,Postcensal Population Estimate,19589572
36001,Albany County,2017,Postcensal Population Estimate,307717
36003,Allegany County,2017,Postcensal Population Estimate,46639
36005,Bronx County,2017,Postcensal Population Estimate,1440625
36007,Broome County,2017,Postcensal Population Estimate,193100
36009,Cattaraugus County,2017,Postcensal Population Estimate,77176
36011,Cayuga County,2017,Postcensal Population Estimate,77457
36013,Chautauqua County,2017,Postcensal Population Estimate,128372
36015,Chemung County,2017,Postcensal Population Estimate,84736
36017,Chenango County,2017,Postcensal Population Estimate,47805
36019,Clinton County,2017,Postcensal Population Estimate,80531
36021,Columbia County,2017,Postcensal Population Estimate,60338
36023,Cortland County,2017,Postcensal Population Estimate,47815
36025,Delaware County,2017,Postcensal Population Estimate,45028
36027,Dutchess County,2017,Postcensal Population Estimate,293545
36029,Erie County,2017,Postcensal Population Estimate,919034
36031,Essex County,2017,Postcensal Population Estimate,37487
36033,Franklin County,2017,Postcensal Population Estimate,50465
36035,Fulton County,2017,Postcensal Population Estimate,53802
36037,Genesee County,2017,Postcensal Population Estimate,57798
36039,Greene County,2017,Postcensal Population Estimate,47442
36041,Hamilton County,2017,Postcensal Population Estimate,4471
36043,Herkimer County,2017,Postcensal Population Estimate,62163
36045,Jefferson County,2017,Postcensal Population Estimate,113157
36047,Kings County,2017,Postcensal Population Estimate,2594676
36049,Lewis County,2017,Postcensal Population Estimate,26605
36051,Livingston County,2017,Postcensal Population Estimate,63483
36053,Madison County,2017,Postcensal Population Estimate,70942
36055,Monroe County,2017,Postcensal Population Estimate,742724
36057,Montgomery County,2017,Postcensal Population Estimate,49163
36059,Nassau County,2017,Postcensal Population Estimate,1357293
36061,New York County,2017,Postcensal Population Estimate,1630698
36063,Niagara County,2017,Postcensal Population Estimate,210848
36065,Oneida County,2017,Postcensal Population Estimate,230011
36067,Onondaga County,2017,Postcensal Population Estimate,461795
36069,Ontario County,2017,Postcensal Population Estimate,109538
36071,Orange County,2017,Postcensal Population Estimate,379758
36073,Orleans County,2017,Postcensal Population Estimate,40786
36075,Oswego County,2017,Postcensal Population Estimate,118427
36077,Otsego County,2017,Postcensal Population Estimate,59920
36079,Putnam County,2017,Postcensal Population Estimate,98856
36081,Queens County,2017,Postcensal Population Estimate,2295808
36083,Rensselaer County,2017,Postcensal Population Estimate,159200
36085,Richmond County,2017,Postcensal Population Estimate,475671
36087,Rockland County,2017,Postcensal Population Estimate,324622
36089,St. Lawrence County,2017,Postcensal Population Estimate,108699
36091,Saratoga County,2017,Postcensal Population Estimate,229276
36093,Schenectady County,2017,Postcensal Population Estimate,154710
36095,Schoharie County,2017,Postcensal Population Estimate,31255
36097,Schuyler County,2017,Postcensal Population Estimate,17913
36099,Seneca County,2017,Postcensal Population Estimate,34246
36101,Steuben County,2017,Postcensal Population Estimate,96360
36103,Suffolk County,2017,Postcensal Population Estimate,1483358
36105,Sullivan County,2017,Postcensal Population Estimate,74994
36107,Tioga County,2017,Postcensal Population Estimate,48609
36109,Tompkins County,2017,Postcensal Population Estimate,102664
36111,Ulster County,2017,Postcensal Population Estimate,178635
36113,Warren County,2017,Postcensal Population Estimate,64365
36115,Washington County,2017,Postcensal Population Estimate,61559
36117,Wayne County,2017,Postcensal Population Estimate,90429
36119,Westchester County,2017,Postcensal Population Estimate,969689
36121,Wyoming County,2017,Postcensal Population Estimate,40282
36123,Yates County,2017,Postcensal Population Estimate,25002
36000,New York State,2016,Postcensal Population Estimate,19633428
36001,Albany County,2016,Postcensal Population Estimate,307597
36003,Allegany County,2016,Postcensal Population Estimate,47044
36005,Bronx County,2016,Postcensal Population Estimate,1444417
36007,Broome County,2016,Postcensal Population Estimate,194498
36009,Cattaraugus County,2016,Postcensal Population Estimate,77658
36011,Cayuga County,2016,Postcensal Population Estimate,77674
36013,Chautauqua County,2016,Postcensal Population Estimate,129206
36015,Chemung County,2016,Postcensal Population Estimate,85644
36017,Chenango County,2016,Postcensal Population Estimate,48315
36019,Clinton County,2016,Postcensal Population Estimate,80500
36021,Columbia County,2016,Postcensal Population Estimate,60835
36023,Cortland County,2016,Postcensal Population Estimate,47915
36025,Delaware County,2016,Postcensal Population Estimate,45393
36027,Dutchess County,2016,Postcensal Population Estimate,293029
36029,Erie County,2016,Postcensal Population Estimate,918678
36031,Essex County,2016,Postcensal Population Estimate,37671
36033,Franklin County,2016,Postcensal Population Estimate,51081
36035,Fulton County,2016,Postcensal Population Estimate,53610
36037,Genesee County,2016,Postcensal Population Estimate,58013
36039,Greene County,2016,Postcensal Population Estimate,47494
36041,Hamilton County,2016,Postcensal Population Estimate,4556
36043,Herkimer County,2016,Postcensal Population Estimate,62436
36045,Jefferson County,2016,Postcensal Population Estimate,112980
36047,Kings County,2016,Postcensal Population Estimate,2608423
36049,Lewis County,2016,Postcensal Population Estimate,26647
36051,Livingston County,2016,Postcensal Population Estimate,64000
36053,Madison County,2016,Postcensal Population Estimate,71387
36055,Monroe County,2016,Postcensal Population Estimate,743770
36057,Montgomery County,2016,Postcensal Population Estimate,49169
36059,Nassau County,2016,Postcensal Population Estimate,1355952
36061,New York County,2016,Postcensal Population Estimate,1635443
36063,Niagara County,2016,Postcensal Population Estimate,211554
36065,Oneida County,2016,Postcensal Population Estimate,230375
36067,Onondaga County,2016,Postcensal Population Estimate,464109
36069,Ontario County,2016,Postcensal Population Estimate,109229
36071,Orange County,2016,Postcensal Population Estimate,377799
36073,Orleans County,2016,Postcensal Population Estimate,41247
36075,Oswego County,2016,Postcensal Population Estimate,118895
36077,Otsego County,2016,Postcensal Population Estimate,60132
36079,Putnam County,2016,Postcensal Population Estimate,98761
36081,Queens County,2016,Postcensal Population Estimate,2306830
36083,Rensselaer County,2016,Postcensal Population Estimate,159294
36085,Richmond County,2016,Postcensal Population Estimate,474040
36087,Rockland County,2016,Postcensal Population Estimate,323258
36089,St. Lawrence County,2016,Postcensal Population Estimate,109449
36091,Saratoga County,2016,Postcensal Population Estimate,227122
36093,Schenectady County,2016,Postcensal Population Estimate,154475
36095,Schoharie County,2016,Postcensal Population Estimate,31304
36097,Schuyler County,2016,Postcensal Population Estimate,17967
36099,Seneca County,2016,Postcensal Population Estimate,34710
36101,Steuben County,2016,Postcensal Population Estimate,96958
36103,Suffolk County,2016,Postcensal Population Estimate,1486406
36105,Sullivan County,2016,Postcensal Population Estimate,74922
36107,Tioga County,2016,Postcensal Population Estimate,48824
36109,Tompkins County,2016,Postcensal Population Estimate,102942
36111,Ulster County,2016,Postcensal Population Estimate,179042
36113,Warren County,2016,Postcensal Population Estimate,64438
36115,Washington County,2016,Postcensal Population Estimate,61795
36117,Wayne County,2016,Postcensal Population Estimate,90758
36119,Westchester County,2016,Postcensal Population Estimate,970267
36121,Wyoming County,2016,Postcensal Population Estimate,40432
36123,Yates County,2016,Postcensal Population Estimate,25059
36000,New York State,2015,Postcensal Population Estimate,19654666
36001,Albany County,2015,Postcensal Population Estimate,307433
36003,Allegany County,2015,Postcensal Population Estimate,47334
36005,Bronx County,2015,Postcensal Population Estimate,1440005
36007,Broome County,2015,Postcensal Population Estimate,195928
36009,Cattaraugus County,2015,Postcensal Population Estimate,77926
36011,Cayuga County,2015,Postcensal Population Estimate,78298
36013,Chautauqua County,2015,Postcensal Population Estimate,130529
36015,Chemung County,2015,Postcensal Population Estimate,86705
36017,Chenango County,2015,Postcensal Population Estimate,48772
36019,Clinton County,2015,Postcensal Population Estimate,80718
36021,Columbia County,2015,Postcensal Population Estimate,61434
36023,Cortland County,2015,Postcensal Population Estimate,48290
36025,Delaware County,2015,Postcensal Population Estimate,45891
36027,Dutchess County,2015,Postcensal Population Estimate,294039
36029,Erie County,2015,Postcensal Population Estimate,920644
36031,Essex County,2015,Postcensal Population Estimate,37965
36033,Franklin County,2015,Postcensal Population Estimate,50540
36035,Fulton County,2015,Postcensal Population Estimate,53801
36037,Genesee County,2015,Postcensal Population Estimate,58462
36039,Greene County,2015,Postcensal Population Estimate,47616
36041,Hamilton County,2015,Postcensal Population Estimate,4699
36043,Herkimer County,2015,Postcensal Population Estimate,62652
36045,Jefferson County,2015,Postcensal Population Estimate,116371
36047,Kings County,2015,Postcensal Population Estimate,2608794
36049,Lewis County,2015,Postcensal Population Estimate,26827
36051,Livingston County,2015,Postcensal Population Estimate,64344
36053,Madison County,2015,Postcensal Population Estimate,71636
36055,Monroe County,2015,Postcensal Population Estimate,745577
36057,Montgomery County,2015,Postcensal Population Estimate,49564
36059,Nassau County,2015,Postcensal Population Estimate,1354840
36061,New York County,2015,Postcensal Population Estimate,1636063
36063,Niagara County,2015,Postcensal Population Estimate,212358
36065,Oneida County,2015,Postcensal Population Estimate,231264
36067,Onondaga County,2015,Postcensal Population Estimate,466277
36069,Ontario County,2015,Postcensal Population Estimate,109271
36071,Orange County,2015,Postcensal Population Estimate,375803
36073,Orleans County,2015,Postcensal Population Estimate,41481
36075,Oswego County,2015,Postcensal Population Estimate,119735
36077,Otsego County,2015,Postcensal Population Estimate,60504
36079,Putnam County,2015,Postcensal Population Estimate,99185
36081,Queens County,2015,Postcensal Population Estimate,2305838
36083,Rensselaer County,2015,Postcensal Population Estimate,159436
36085,Richmond County,2015,Postcensal Population Estimate,472349
36087,Rockland County,2015,Postcensal Population Estimate,322919
36089,St. Lawrence County,2015,Postcensal Population Estimate,110348
36091,Saratoga County,2015,Postcensal Population Estimate,226078
36093,Schenectady County,2015,Postcensal Population Estimate,154733
36095,Schoharie County,2015,Postcensal Population Estimate,31405
36097,Schuyler County,2015,Postcensal Population Estimate,18027
36099,Seneca County,2015,Postcensal Population Estimate,34801
36101,Steuben County,2015,Postcensal Population Estimate,97551
36103,Suffolk County,2015,Postcensal Population Estimate,1491967
36105,Sullivan County,2015,Postcensal Population Estimate,74832
36107,Tioga County,2015,Postcensal Population Estimate,49355
36109,Tompkins County,2015,Postcensal Population Estimate,103006
36111,Ulster County,2015,Postcensal Population Estimate,179658
36113,Warren County,2015,Postcensal Population Estimate,64420
36115,Washington County,2015,Postcensal Population Estimate,62246
36117,Wayne County,2015,Postcensal Population Estimate,91291
36119,Westchester County,2015,Postcensal Population Estimate,968773
36121,Wyoming County,2015,Postcensal Population Estimate,40930
36123,Yates County,2015,Postcensal Population Estimate,25128
36000,New York State,2014,Postcensal Population Estimate,19651049
36001,Albany County,2014,Postcensal Population Estimate,307151
36003,Allegany County,2014,Postcensal Population Estimate,47652
36005,Bronx County,2014,Postcensal Population Estimate,1430942
36007,Broome County,2014,Postcensal Population Estimate,197251
36009,Cattaraugus County,2014,Postcensal Population Estimate,78677
36011,Cayuga County,2014,Postcensal Population Estimate,78762
36013,Chautauqua County,2014,Postcensal Population Estimate,131751
36015,Chemung County,2014,Postcensal Population Estimate,87177
36017,Chenango County,2014,Postcensal Population Estimate,49319
36019,Clinton County,2014,Postcensal Population Estimate,81463
36021,Columbia County,2014,Postcensal Population Estimate,61942
36023,Cortland County,2014,Postcensal Population Estimate,48740
36025,Delaware County,2014,Postcensal Population Estimate,46562
36027,Dutchess County,2014,Postcensal Population Estimate,295127
36029,Erie County,2014,Postcensal Population Estimate,921755
36031,Essex County,2014,Postcensal Population Estimate,38323
36033,Franklin County,2014,Postcensal Population Estimate,51096
36035,Fulton County,2014,Postcensal Population Estimate,53932
36037,Genesee County,2014,Postcensal Population Estimate,58725
36039,Greene County,2014,Postcensal Population Estimate,47964
36041,Hamilton County,2014,Postcensal Population Estimate,4700
36043,Herkimer County,2014,Postcensal Population Estimate,63384
36045,Jefferson County,2014,Postcensal Population Estimate,117971
36047,Kings County,2014,Postcensal Population Estimate,2601513
36049,Lewis County,2014,Postcensal Population Estimate,27089
36051,Livingston County,2014,Postcensal Population Estimate,64585
36053,Madison County,2014,Postcensal Population Estimate,72210
36055,Monroe County,2014,Postcensal Population Estimate,747364
36057,Montgomery County,2014,Postcensal Population Estimate,49679
36059,Nassau County,2014,Postcensal Population Estimate,1354705
36061,New York County,2014,Postcensal Population Estimate,1630678
36063,Niagara County,2014,Postcensal Population Estimate,213305
36065,Oneida County,2014,Postcensal Population Estimate,232598
36067,Onondaga County,2014,Postcensal Population Estimate,467285
36069,Ontario County,2014,Postcensal Population Estimate,109334
36071,Orange County,2014,Postcensal Population Estimate,374845
36073,Orleans County,2014,Postcensal Population Estimate,41861
36075,Oswego County,2014,Postcensal Population Estimate,120590
36077,Otsego County,2014,Postcensal Population Estimate,60950
36079,Putnam County,2014,Postcensal Population Estimate,99438
36081,Queens County,2014,Postcensal Population Estimate,2298736
36083,Rensselaer County,2014,Postcensal Population Estimate,159666
36085,Richmond County,2014,Postcensal Population Estimate,471937
36087,Rockland County,2014,Postcensal Population Estimate,321119
36089,St. Lawrence County,2014,Postcensal Population Estimate,111437
36091,Saratoga County,2014,Postcensal Population Estimate,224513
36093,Schenectady County,2014,Postcensal Population Estimate,155016
36095,Schoharie County,2014,Postcensal Population Estimate,31767
36097,Schuyler County,2014,Postcensal Population Estimate,18176
36099,Seneca County,2014,Postcensal Population Estimate,34879
36101,Steuben County,2014,Postcensal Population Estimate,98165
36103,Suffolk County,2014,Postcensal Population Estimate,1495525
36105,Sullivan County,2014,Postcensal Population Estimate,75634
36107,Tioga County,2014,Postcensal Population Estimate,49824
36109,Tompkins County,2014,Postcensal Population Estimate,103391
36111,Ulster County,2014,Postcensal Population Estimate,180400
36113,Warren County,2014,Postcensal Population Estimate,64866
36115,Washington County,2014,Postcensal Population Estimate,62475
36117,Wayne County,2014,Postcensal Population Estimate,91801
36119,Westchester County,2014,Postcensal Population Estimate,967044
36121,Wyoming County,2014,Postcensal Population Estimate,41134
36123,Yates County,2014,Postcensal Population Estimate,25149
36000,New York State,2013,Postcensal Population Estimate,19624447
36001,Albany County,2013,Postcensal Population Estimate,306589
36003,Allegany County,2013,Postcensal Population Estimate,47900
36005,Bronx County,2013,Postcensal Population Estimate,1421928
36007,Broome County,2013,Postcensal Population Estimate,197914
36009,Cattaraugus County,2013,Postcensal Population Estimate,78996
36011,Cayuga County,2013,Postcensal Population Estimate,79088
36013,Chautauqua County,2013,Postcensal Population Estimate,132852
36015,Chemung County,2013,Postcensal Population Estimate,88199
36017,Chenango County,2013,Postcensal Population Estimate,49477
36019,Clinton County,2013,Postcensal Population Estimate,81523
36021,Columbia County,2013,Postcensal Population Estimate,62170
36023,Cortland County,2013,Postcensal Population Estimate,48905
36025,Delaware County,2013,Postcensal Population Estimate,46803
36027,Dutchess County,2013,Postcensal Population Estimate,296268
36029,Erie County,2013,Postcensal Population Estimate,920869
36031,Essex County,2013,Postcensal Population Estimate,38601
36033,Franklin County,2013,Postcensal Population Estimate,51212
36035,Fulton County,2013,Postcensal Population Estimate,54345
36037,Genesee County,2013,Postcensal Population Estimate,59112
36039,Greene County,2013,Postcensal Population Estimate,48308
36041,Hamilton County,2013,Postcensal Population Estimate,4766
36043,Herkimer County,2013,Postcensal Population Estimate,63883
36045,Jefferson County,2013,Postcensal Population Estimate,118490
36047,Kings County,2013,Postcensal Population Estimate,2587684
36049,Lewis County,2013,Postcensal Population Estimate,27098
36051,Livingston County,2013,Postcensal Population Estimate,64627
36053,Madison County,2013,Postcensal Population Estimate,72457
36055,Monroe County,2013,Postcensal Population Estimate,748290
36057,Montgomery County,2013,Postcensal Population Estimate,49743
36059,Nassau County,2013,Postcensal Population Estimate,1352193
36061,New York County,2013,Postcensal Population Estimate,1627491
36063,Niagara County,2013,Postcensal Population Estimate,214105
36065,Oneida County,2013,Postcensal Population Estimate,233347
36067,Onondaga County,2013,Postcensal Population Estimate,468146
36069,Ontario County,2013,Postcensal Population Estimate,109044
36071,Orange County,2013,Postcensal Population Estimate,374320
36073,Orleans County,2013,Postcensal Population Estimate,42229
36075,Oswego County,2013,Postcensal Population Estimate,121170
36077,Otsego County,2013,Postcensal Population Estimate,61614
36079,Putnam County,2013,Postcensal Population Estimate,99572
36081,Queens County,2013,Postcensal Population Estimate,2287185
36083,Rensselaer County,2013,Postcensal Population Estimate,159545
36085,Richmond County,2013,Postcensal Population Estimate,471803
36087,Rockland County,2013,Postcensal Population Estimate,319284
36089,St. Lawrence County,2013,Postcensal Population Estimate,111931
36091,Saratoga County,2013,Postcensal Population Estimate,224087
36093,Schenectady County,2013,Postcensal Population Estimate,154944
36095,Schoharie County,2013,Postcensal Population Estimate,31900
36097,Schuyler County,2013,Postcensal Population Estimate,18382
36099,Seneca County,2013,Postcensal Population Estimate,35250
36101,Steuben County,2013,Postcensal Population Estimate,98843
36103,Suffolk County,2013,Postcensal Population Estimate,1497346
36105,Sullivan County,2013,Postcensal Population Estimate,76945
36107,Tioga County,2013,Postcensal Population Estimate,50103
36109,Tompkins County,2013,Postcensal Population Estimate,103553
36111,Ulster County,2013,Postcensal Population Estimate,180698
36113,Warren County,2013,Postcensal Population Estimate,65083
36115,Washington County,2013,Postcensal Population Estimate,62765
36117,Wayne County,2013,Postcensal Population Estimate,92339
36119,Westchester County,2013,Postcensal Population Estimate,964567
36121,Wyoming County,2013,Postcensal Population Estimate,41359
36123,Yates County,2013,Postcensal Population Estimate,25207
36000,New York State,2012,Postcensal Population Estimate,19572932
36001,Albany County,2012,Postcensal Population Estimate,305723
36003,Allegany County,2012,Postcensal Population Estimate,48210
36005,Bronx County,2012,Postcensal Population Estimate,1411496
36007,Broome County,2012,Postcensal Population Estimate,198667
36009,Cattaraugus County,2012,Postcensal Population Estimate,79348
36011,Cayuga County,2012,Postcensal Population Estimate,79505
36013,Chautauqua County,2012,Postcensal Population Estimate,133304
36015,Chemung County,2012,Postcensal Population Estimate,89137
36017,Chenango County,2012,Postcensal Population Estimate,49883
36019,Clinton County,2012,Postcensal Population Estimate,81714
36021,Columbia County,2012,Postcensal Population Estimate,62449
36023,Cortland County,2012,Postcensal Population Estimate,49023
36025,Delaware County,2012,Postcensal Population Estimate,47215
36027,Dutchess County,2012,Postcensal Population Estimate,297023
36029,Erie County,2012,Postcensal Population Estimate,919906
36031,Essex County,2012,Postcensal Population Estimate,38875
36033,Franklin County,2012,Postcensal Population Estimate,51791
36035,Fulton County,2012,Postcensal Population Estimate,54845
36037,Genesee County,2012,Postcensal Population Estimate,59672
36039,Greene County,2012,Postcensal Population Estimate,48587
36041,Hamilton County,2012,Postcensal Population Estimate,4803
36043,Herkimer County,2012,Postcensal Population Estimate,64227
36045,Jefferson County,2012,Postcensal Population Estimate,120235
36047,Kings County,2012,Postcensal Population Estimate,2568450
36049,Lewis County,2012,Postcensal Population Estimate,27196
36051,Livingston County,2012,Postcensal Population Estimate,64796
36053,Madison County,2012,Postcensal Population Estimate,72414
36055,Monroe County,2012,Postcensal Population Estimate,747344
36057,Montgomery County,2012,Postcensal Population Estimate,49829
36059,Nassau County,2012,Postcensal Population Estimate,1349616
36061,New York County,2012,Postcensal Population Estimate,1623911
36063,Niagara County,2012,Postcensal Population Estimate,214713
36065,Oneida County,2012,Postcensal Population Estimate,233765
36067,Onondaga County,2012,Postcensal Population Estimate,467030
36069,Ontario County,2012,Postcensal Population Estimate,108611
36071,Orange County,2012,Postcensal Population Estimate,373699
36073,Orleans County,2012,Postcensal Population Estimate,42391
36075,Oswego County,2012,Postcensal Population Estimate,121458
36077,Otsego County,2012,Postcensal Population Estimate,61747
36079,Putnam County,2012,Postcensal Population Estimate,99625
36081,Queens County,2012,Postcensal Population Estimate,2272222
36083,Rensselaer County,2012,Postcensal Population Estimate,159437
36085,Richmond County,2012,Postcensal Population Estimate,470614
36087,Rockland County,2012,Postcensal Population Estimate,317196
36089,St. Lawrence County,2012,Postcensal Population Estimate,112355
36091,Saratoga County,2012,Postcensal Population Estimate,222483
36093,Schenectady County,2012,Postcensal Population Estimate,155016
36095,Schoharie County,2012,Postcensal Population Estimate,32039
36097,Schuyler County,2012,Postcensal Population Estimate,18498
36099,Seneca County,2012,Postcensal Population Estimate,35388
36101,Steuben County,2012,Postcensal Population Estimate,98925
36103,Suffolk County,2012,Postcensal Population Estimate,1496982
36105,Sullivan County,2012,Postcensal Population Estimate,76931
36107,Tioga County,2012,Postcensal Population Estimate,50278
36109,Tompkins County,2012,Postcensal Population Estimate,102726
36111,Ulster County,2012,Postcensal Population Estimate,181538
36113,Warren County,2012,Postcensal Population Estimate,65417
36115,Washington County,2012,Postcensal Population Estimate,63003
36117,Wayne County,2012,Postcensal Population Estimate,93029
36119,Westchester County,2012,Postcensal Population Estimate,959585
36121,Wyoming County,2012,Postcensal Population Estimate,41700
36123,Yates County,2012,Postcensal Population Estimate,25337
36000,New York State,2011,Postcensal Population Estimate,19499241
36001,Albany County,2011,Postcensal Population Estimate,304596
36003,Allegany County,2011,Postcensal Population Estimate,48800
36005,Bronx County,2011,Postcensal Population Estimate,1397335
36007,Broome County,2011,Postcensal Population Estimate,199363
36009,Cattaraugus County,2011,Postcensal Population Estimate,79815
36011,Cayuga County,2011,Postcensal Population Estimate,79693
36013,Chautauqua County,2011,Postcensal Population Estimate,134209
